Unit_Price,Quantity,Discount,Total_Price,Customer_Type,Product,Category,Region,Cluster
1.26,14.000000000000002,0.0,17.64,B2C,Evian,Water,Hamburg,0
2.34,3.0,0.0,7.02,B2C,Rockstar,Soft Drinks,Sachsen,0
0.58,8.0,0.0,4.64,B2C,Volvic,Water,Thüringen,0
1.61,3.0,0.0,4.83,B2C,Vio Wasser,Water,Sachsen-Anhalt,0
0.6099999999999999,12.0,0.0,7.32,B2C,Mezzo Mix,Soft Drinks,Schleswig-Holstein,0
2.38,10.0,0.0,23.800000000000004,B2C,Rauch Multivitamin,Juices,Hamburg,0
2.19,4.0,0.0,8.76,B2C,Club Mate,Soft Drinks,Hessen,0
1.16,7.000000000000001,0.0,8.12,B2C,Fanta,Soft Drinks,Nordrhein-Westfalen,0
4.48,14.000000000000002,0.0,62.72,B2C,Merlot,Alcoholic Beverages,Sachsen,0
1.86,4.0,0.0,7.44,B2C,Hohes C Orange,Juices,Hessen,0
4.879999999999999,15.0,0.0,73.2,B2C,Chardonnay,Alcoholic Beverages,Brandenburg,0
2.6,10.0,0.05,24.7,B2B,Mango Juice,Juices,Niedersachsen,2
3.88,26.0,0.05,95.84,B2B,Riesling,Alcoholic Beverages,Baden-Württemberg,2
0.47,6.0,0.0,2.8199999999999994,B2C,Selters,Water,Mecklenburg-Vorpommern,0
0.59,14.000000000000002,0.0,8.26,B2C,Mezzo Mix,Soft Drinks,Niedersachsen,0
1.53,4.0,0.0,6.120000000000001,B2C,Pepsi,Soft Drinks,Mecklenburg-Vorpommern,0
0.9700000000000001,49.0,0.1,42.78,B2B,Evian,Water,Baden-Württemberg,1
1.86,15.0,0.0,27.9,B2C,Hohes C Orange,Juices,Berlin,0
1.64,1.0,0.0,1.64,B2C,Granini Apple,Juices,Hessen,0
0.86,12.0,0.0,10.32,B2C,San Pellegrino,Water,Schleswig-Holstein,0
3.11,14.000000000000002,0.0,43.54,B2C,Passion Fruit Juice,Juices,Mecklenburg-Vorpommern,0
1.86,13.0,0.0,24.18,B2C,Hohes C Orange,Juices,Bayern,0
1.0700000000000003,14.000000000000002,0.0,14.98,B2C,Gerolsteiner,Water,Hessen,0
1.49,2.0,0.0,2.98,B2C,Pepsi,Soft Drinks,Hamburg,0
0.87,51.00000000000001,0.05,42.15,B2B,Volvic Touch,Water,Schleswig-Holstein,1
0.59,14.000000000000002,0.0,8.26,B2C,Vittel,Water,Sachsen-Anhalt,0
2.27,11.0,0.0,24.97,B2C,Rockstar,Soft Drinks,Berlin,0
2.25,1.0,0.05,2.14,B2B,Club Mate,Soft Drinks,Hamburg,2
0.6099999999999999,2.0,0.05,1.16,B2B,Fanta,Soft Drinks,Brandenburg,2
1.86,11.0,0.0,20.46,B2C,Hohes C Orange,Juices,Brandenburg,0
1.61,13.0,0.0,20.93,B2C,Vio Wasser,Water,Bayern,0
0.63,13.0,0.0,8.19,B2C,Mezzo Mix,Soft Drinks,Saarland,0
1.09,28.000000000000004,0.05,28.99,B2B,Selters,Water,Bayern,2
1.12,6.0,0.0,6.72,B2C,Augustiner,Alcoholic Beverages,Baden-Württemberg,0
5.03,15.0,0.0,75.45,B2C,Chardonnay,Alcoholic Beverages,Sachsen,0
0.49,7.000000000000001,0.0,3.43,B2C,Selters,Water,Nordrhein-Westfalen,0
1.15,28.999999999999996,0.05,31.68,B2B,Granini Apple,Juices,Hessen,2
1.5099999999999998,3.0,0.0,4.53,B2C,Beck's,Alcoholic Beverages,Berlin,0
1.86,57.0,0.05,100.72,B2B,Tomato Juice,Juices,Sachsen,1
1.64,4.0,0.0,6.56,B2C,Granini Apple,Juices,Rheinland-Pfalz,0
1.34,14.000000000000002,0.05,17.82,B2B,Erdinger Weißbier,Alcoholic Beverages,Bremen,2
2.68,44.0,0.05,112.01999999999998,B2B,Fritz-Kola,Soft Drinks,Berlin,1
3.33,5.0,0.0,16.65,B2C,Tomato Juice,Juices,Thüringen,0
2.34,10.0,0.0,23.4,B2C,Rockstar,Soft Drinks,Niedersachsen,0
0.65,6.0,0.0,3.9000000000000004,B2C,Vittel,Water,Bremen,0
1.61,8.0,0.0,12.88,B2C,Vio Wasser,Water,Saarland,0
2.45,14.000000000000002,0.0,34.3,B2C,Rauch Multivitamin,Juices,Niedersachsen,0
2.13,11.0,0.0,23.43,B2C,Club Mate,Soft Drinks,Brandenburg,0
1.64,3.0,0.0,4.92,B2C,Pepsi,Soft Drinks,Mecklenburg-Vorpommern,0
1.54,10.0,0.0,15.4,B2C,Krombacher,Alcoholic Beverages,Saarland,0
1.7999999999999998,8.0,0.0,14.4,B2C,Hohes C Orange,Juices,Baden-Württemberg,0
2.27,12.0,0.0,27.240000000000002,B2C,Rockstar,Soft Drinks,Hamburg,0
2.26,15.0,0.0,33.9,B2C,Club Mate,Soft Drinks,Saarland,0
1.23,2.0,0.0,2.46,B2C,Evian,Water,Baden-Württemberg,0
2.66,55.0,0.1,131.67,B2B,Rockstar,Soft Drinks,Sachsen,1
1.5099999999999998,11.0,0.05,15.78,B2B,Hohes C Orange,Juices,Hessen,2
1.1100000000000003,68.0,0.1,67.93,B2B,Schwip Schwap,Soft Drinks,Saarland,1
1.41,1.0,0.0,1.4099999999999997,B2C,Beck's,Alcoholic Beverages,Hamburg,0
2.5800000000000005,21.0,0.05,51.47,B2B,Tomato Juice,Juices,Bayern,2
1.5800000000000003,3.0,0.0,4.74,B2C,Pepsi,Soft Drinks,Niedersachsen,0
0.44999999999999996,32.0,0.1,12.96,B2B,Apollinaris,Water,Nordrhein-Westfalen,2
1.26,57.0,0.05,68.23,B2B,Jever,Alcoholic Beverages,Hamburg,1
1.99,1.0,0.0,1.99,B2C,Fritz-Kola,Soft Drinks,Brandenburg,0
2.31,1.0,0.0,2.31,B2C,Rauch Multivitamin,Juices,Thüringen,0
1.33,10.0,0.0,13.300000000000002,B2C,Beck's,Alcoholic Beverages,Niedersachsen,0
3.23,9.0,0.0,29.07,B2C,Tomato Juice,Juices,Thüringen,0
1.2900000000000003,14.000000000000002,0.1,16.25,B2B,Evian,Water,Rheinland-Pfalz,2
3.67,10.0,0.0,36.7,B2C,Cranberry Juice,Juices,Mecklenburg-Vorpommern,0
0.55,5.0,0.0,2.75,B2C,Volvic,Water,Brandenburg,0
3.67,11.0,0.0,40.37,B2C,Cranberry Juice,Juices,Hessen,0
2.42,54.0,0.1,117.61000000000001,B2B,Rauch Multivitamin,Juices,Berlin,1
1.41,8.0,0.0,11.279999999999998,B2C,Beck's,Alcoholic Beverages,Baden-Württemberg,0
1.1,47.0,0.1,46.529999999999994,B2B,Apollinaris,Water,Berlin,1
1.92,31.0,0.05,56.54,B2B,Tomato Juice,Juices,Bayern,2
0.58,5.0,0.0,2.9,B2C,Volvic,Water,Rheinland-Pfalz,0
0.89,10.0,0.0,8.9,B2C,San Pellegrino,Water,Berlin,0
2.21,3.0,0.0,6.629999999999999,B2C,Rockstar,Soft Drinks,Hessen,0
2.35,10.0,0.0,23.5,B2C,Red Bull,Soft Drinks,Sachsen-Anhalt,0
2.31,15.0,0.0,34.65,B2C,Rauch Multivitamin,Juices,Rheinland-Pfalz,0
3.12,7.000000000000001,0.0,21.84,B2C,Monster,Soft Drinks,Hessen,0
3.67,9.0,0.0,33.03,B2C,Cranberry Juice,Juices,Thüringen,0
1.98,10.0,0.0,19.8,B2C,Erdinger Weißbier,Alcoholic Beverages,Hamburg,0
2.93,2.0,0.0,5.86,B2C,Passion Fruit Juice,Juices,Hessen,0
0.99,43.0,0.05,40.44,B2B,Jever,Alcoholic Beverages,Nordrhein-Westfalen,1
0.55,14.000000000000002,0.0,7.7,B2C,Volvic,Water,Bayern,0
1.42,1.0,0.0,1.42,B2C,Volvic Touch,Water,Rheinland-Pfalz,0
1.63,10.0,0.05,15.479999999999999,B2B,Granini Apple,Juices,Schleswig-Holstein,2
0.6099999999999999,9.0,0.0,5.49,B2C,Mezzo Mix,Soft Drinks,Bremen,0
2.45,7.000000000000001,0.0,17.15,B2C,Rauch Multivitamin,Juices,Sachsen,0
1.41,9.0,0.0,12.69,B2C,Beck's,Alcoholic Beverages,Baden-Württemberg,0
1.24,15.0,0.0,18.6,B2C,Schwip Schwap,Soft Drinks,Thüringen,0
0.9100000000000001,14.000000000000002,0.0,12.74,B2C,San Pellegrino,Water,Sachsen,0
0.64,45.0,0.1,25.92,B2B,Selters,Water,Thüringen,1
0.89,6.0,0.0,5.34,B2C,San Pellegrino,Water,Sachsen,0
1.64,14.000000000000002,0.0,22.96,B2C,Pepsi,Soft Drinks,Brandenburg,0
1.41,15.0,0.0,21.15,B2C,Beck's,Alcoholic Beverages,Niedersachsen,0
2.31,6.0,0.0,13.860000000000001,B2C,Rauch Multivitamin,Juices,Berlin,0
4.74,17.0,0.05,76.55,B2B,Riesling,Alcoholic Beverages,Bremen,2
1.63,8.0,0.0,13.040000000000001,B2C,Krombacher,Alcoholic Beverages,Bremen,0
1.16,4.0,0.0,4.64,B2C,Augustiner,Alcoholic Beverages,Thüringen,0
2.38,36.0,0.05,81.4,B2B,Monster,Soft Drinks,Brandenburg,1
1.26,42.0,0.05,50.27,B2B,Granini Apple,Juices,Sachsen-Anhalt,1
3.31,3.0,0.0,9.93,B2C,Mango Juice,Juices,Mecklenburg-Vorpommern,0
0.99,11.0,0.0,10.89,B2C,Mountain Dew,Soft Drinks,Bayern,0
3.46,7.000000000000001,0.0,24.22,B2C,Cranberry Juice,Juices,Sachsen,0
2.5,18.0,0.05,42.75,B2B,Fritz-Kola,Soft Drinks,Bayern,2
0.55,5.0,0.0,2.75,B2C,Sprite,Soft Drinks,Mecklenburg-Vorpommern,0
2.05,2.0,0.0,4.1,B2C,Fritz-Kola,Soft Drinks,Hamburg,0
3.33,1.0,0.0,3.33,B2C,Tomato Juice,Juices,Hessen,0
0.93,5.0,0.0,4.65,B2C,Mountain Dew,Soft Drinks,Niedersachsen,0
5.03,11.0,0.0,55.32999999999999,B2C,Chardonnay,Alcoholic Beverages,Niedersachsen,0
1.84,60.0,0.1,99.36,B2B,Warsteiner,Alcoholic Beverages,Bremen,1
0.55,7.000000000000001,0.0,3.85,B2C,Volvic,Water,Thüringen,0
0.6099999999999999,7.000000000000001,0.0,4.27,B2C,Mezzo Mix,Soft Drinks,Nordrhein-Westfalen,0
3.11,12.0,0.0,37.32,B2C,Passion Fruit Juice,Juices,Rheinland-Pfalz,0
1.66,11.0,0.0,18.26,B2C,Vio Wasser,Water,Rheinland-Pfalz,0
1.46,6.0,0.0,8.76,B2C,Beck's,Alcoholic Beverages,Hamburg,0
1.02,15.0,0.0,15.3,B2C,Warsteiner,Alcoholic Beverages,Schleswig-Holstein,0
4.22,12.0,0.0,50.64,B2C,Merlot,Alcoholic Beverages,Sachsen,0
1.59,15.0,0.0,23.85,B2C,Granini Apple,Juices,Brandenburg,0
3.0199999999999996,6.0,0.0,18.12,B2C,Passion Fruit Juice,Juices,Berlin,0
3.23,14.000000000000002,0.0,45.22,B2C,Tomato Juice,Juices,Niedersachsen,0
1.0800000000000003,13.0,0.0,14.04,B2C,Warsteiner,Alcoholic Beverages,Niedersachsen,0
3.31,14.000000000000002,0.0,46.34,B2C,Mango Juice,Juices,Sachsen-Anhalt,0
4.35,7.000000000000001,0.0,30.450000000000003,B2C,Merlot,Alcoholic Beverages,Bayern,0
1.53,14.000000000000002,0.0,21.42,B2C,Pepsi,Soft Drinks,Bayern,0
2.25,14.000000000000002,0.1,28.35,B2B,Rauch Multivitamin,Juices,Bayern,2
0.95,34.0,0.05,30.68,B2B,Krombacher,Alcoholic Beverages,Thüringen,1
1.05,9.0,0.0,9.45,B2C,Warsteiner,Alcoholic Beverages,Thüringen,0
1.3600000000000003,11.0,0.05,14.21,B2B,Granini Apple,Juices,Sachsen,2
0.89,8.0,0.0,7.12,B2C,San Pellegrino,Water,Rheinland-Pfalz,0
3.46,1.0,0.0,3.4599999999999995,B2C,Cranberry Juice,Juices,Saarland,0
1.27,3.0,0.05,3.62,B2B,Granini Apple,Juices,Sachsen,2
1.01,7.000000000000001,0.0,7.07,B2C,Gerolsteiner,Water,Sachsen,0
1.0400000000000003,6.0,0.0,6.240000000000001,B2C,Gerolsteiner,Water,Hamburg,0
1.39,32.0,0.05,42.26,B2B,Granini Apple,Juices,Rheinland-Pfalz,2
1.19,9.0,0.0,10.71,B2C,Fanta,Soft Drinks,Bremen,0
5.03,13.0,0.0,65.39,B2C,Riesling,Alcoholic Beverages,Bayern,0
0.57,7.000000000000001,0.0,3.9900000000000007,B2C,Volvic,Water,Baden-Württemberg,0
0.59,6.0,0.05,3.36,B2B,Mountain Dew,Soft Drinks,Nordrhein-Westfalen,2
1.6900000000000002,4.0,0.0,6.76,B2C,Granini Apple,Juices,Baden-Württemberg,0
1.92,10.0,0.0,19.2,B2C,Erdinger Weißbier,Alcoholic Beverages,Saarland,0
2.26,6.0,0.0,13.56,B2C,Club Mate,Soft Drinks,Baden-Württemberg,0
1.21,28.999999999999996,0.05,33.34,B2B,Kölsch,Alcoholic Beverages,Rheinland-Pfalz,2
2.37,37.0,0.05,83.31,B2B,Red Bull,Soft Drinks,Nordrhein-Westfalen,1
4.879999999999999,13.0,0.0,63.44,B2C,Chardonnay,Alcoholic Beverages,Mecklenburg-Vorpommern,0
1.53,2.0,0.0,3.0600000000000005,B2C,Pepsi,Soft Drinks,Brandenburg,0
0.55,6.0,0.0,3.3,B2C,Volvic,Water,Rheinland-Pfalz,0
1.99,11.0,0.0,21.890000000000004,B2C,Jever,Alcoholic Beverages,Brandenburg,0
3.67,8.0,0.0,29.36,B2C,Cranberry Juice,Juices,Bremen,0
0.56,9.0,0.0,5.04,B2C,Sprite,Soft Drinks,Saarland,0
1.38,13.0,0.0,17.94,B2C,Volvic Touch,Water,Berlin,0
0.56,11.0,0.0,6.16,B2C,Sprite,Soft Drinks,Berlin,0
3.21,1.0,0.0,3.21,B2C,Mango Juice,Juices,Berlin,0
1.7999999999999998,7.000000000000001,0.0,12.6,B2C,Hohes C Orange,Juices,Hessen,0
2.36,11.0,0.05,24.66,B2B,Tomato Juice,Juices,Niedersachsen,2
1.31,4.0,0.0,5.24,B2C,Evian,Water,Berlin,0
2.05,11.0,0.0,22.55,B2C,Fritz-Kola,Soft Drinks,Baden-Württemberg,0
0.72,26.0,0.05,17.78,B2B,Apollinaris,Water,Sachsen-Anhalt,2
1.54,10.0,0.0,15.4,B2C,Krombacher,Alcoholic Beverages,Sachsen-Anhalt,0
1.67,59.0,0.1,88.68,B2B,Hohes C Orange,Juices,Hamburg,1
2.54,2.0,0.05,4.83,B2B,Passion Fruit Juice,Juices,Niedersachsen,2
1.46,15.0,0.0,21.9,B2C,Volvic Touch,Water,Berlin,0
3.12,12.0,0.0,37.44,B2C,Monster,Soft Drinks,Niedersachsen,0
3.11,9.0,0.0,27.990000000000002,B2C,Passion Fruit Juice,Juices,Bayern,0
3.46,10.0,0.0,34.6,B2C,Cranberry Juice,Juices,Hamburg,0
2.45,6.0,0.0,14.7,B2C,Rauch Multivitamin,Juices,Baden-Württemberg,0
0.69,20.0,0.1,12.42,B2B,Gerolsteiner,Water,Rheinland-Pfalz,2
2.34,14.000000000000002,0.0,32.76,B2C,Rockstar,Soft Drinks,Sachsen-Anhalt,0
3.43,8.0,0.0,27.44,B2C,Tomato Juice,Juices,Sachsen,0
1.46,13.0,0.0,18.98,B2C,Volvic Touch,Water,Thüringen,0
2.8000000000000003,49.0,0.05,130.34,B2B,Mango Juice,Juices,Hamburg,1
0.77,16.0,0.05,11.7,B2B,Mezzo Mix,Soft Drinks,Hamburg,2
1.61,9.0,0.0,14.489999999999998,B2C,Vio Wasser,Water,Mecklenburg-Vorpommern,0
0.43,1.0,0.1,0.39000000000000007,B2B,San Pellegrino,Water,Sachsen-Anhalt,2
1.75,10.0,0.0,17.5,B2C,Hohes C Orange,Juices,Hamburg,0
0.47,3.0,0.0,1.4099999999999997,B2C,Selters,Water,Brandenburg,0
1.27,12.0,0.0,15.239999999999998,B2C,Schwip Schwap,Soft Drinks,Rheinland-Pfalz,0
3.56,13.0,0.0,46.28,B2C,Cranberry Juice,Juices,Bremen,0
1.31,1.0,0.0,1.3100000000000003,B2C,Evian,Water,Thüringen,0
2.13,10.0,0.0,21.3,B2C,Club Mate,Soft Drinks,Sachsen-Anhalt,0
0.9600000000000001,1.0,0.0,0.9600000000000001,B2C,Kölsch,Alcoholic Beverages,Nordrhein-Westfalen,0
1.16,7.000000000000001,0.0,8.12,B2C,Augustiner,Alcoholic Beverages,Hamburg,0
0.87,36.0,0.05,29.75,B2B,Beck's,Alcoholic Beverages,Thüringen,1
1.7999999999999998,10.0,0.0,18.0,B2C,Hohes C Orange,Juices,Hessen,0
1.66,5.0,0.0,8.3,B2C,Vio Wasser,Water,Berlin,0
1.98,6.0,0.0,11.88,B2C,Erdinger Weißbier,Alcoholic Beverages,Bayern,0
0.85,19.0,0.05,15.34,B2B,Evian,Water,Bayern,2
0.6099999999999999,14.000000000000002,0.0,8.54,B2C,Mezzo Mix,Soft Drinks,Schleswig-Holstein,0
0.58,5.0,0.0,2.9,B2C,Volvic,Water,Nordrhein-Westfalen,0
1.64,15.0,0.0,24.6,B2C,Granini Apple,Juices,Rheinland-Pfalz,0
3.46,13.0,0.0,44.98,B2C,Cranberry Juice,Juices,Thüringen,0
2.38,9.0,0.0,21.42,B2C,Rauch Multivitamin,Juices,Brandenburg,0
0.93,6.0,0.0,5.58,B2C,Apollinaris,Water,Saarland,0
3.67,10.0,0.0,36.7,B2C,Cranberry Juice,Juices,Bremen,0
2.38,59.0,0.1,126.38,B2B,Fritz-Kola,Soft Drinks,Hamburg,1
1.62,57.99999999999999,0.1,84.56,B2B,Beck's,Alcoholic Beverages,Baden-Württemberg,1
1.13,60.0,0.05,64.41,B2B,San Pellegrino,Water,Hessen,1
1.86,5.0,0.0,9.3,B2C,Hohes C Orange,Juices,Sachsen,0
0.89,15.0,0.0,13.35,B2C,San Pellegrino,Water,Saarland,0
2.27,5.0,0.0,11.349999999999998,B2C,Rockstar,Soft Drinks,Thüringen,0
4.22,14.000000000000002,0.0,59.08,B2C,Merlot,Alcoholic Beverages,Nordrhein-Westfalen,0
0.9100000000000001,3.0,0.0,2.73,B2C,San Pellegrino,Water,Bremen,0
1.0400000000000003,5.0,0.0,5.2,B2C,Gerolsteiner,Water,Schleswig-Holstein,0
